Video ID,Views,Likes,Comments,Duration,Title
MvAfLw2DiqA,"92,276","2,473",219,PT9M44S,OVERPOWERED Night Vision - Full Raid - Escape From Tarkov
0Jrv9EN4z9g,"5,689",250,20,PT10M9S,Escape From Tarkov Highlights - EFT WTF MOMENTS  #202
_HikA8FbGcc,"29,320","1,285",235,PT14M53S,WHY Slick Armor is AWFUL (Tarkov Armor Guide 12.12) - Escape from Tarkov
amzASW3EmME,"523,128","27,099","1,122",PT34M19S,THE GREATEST SOLO EXTRACTION - Escape From Tarkov
2YglvWKESHg,"63,735","1,468",100,PT27M43S,A Good day to be DROPPING CHADS in Tarkov
sVey5OntHNM,"16,112","1,544",216,PT27M37S,"Permadeath, Open World, &amp; oodles more - Escape From Tarkov - Podcast Recap"
g_JdrCCi44g,"16,041","1,143",254,PT6M43S,What &quot;Permadeath&quot; Means In EFT // Will Escape from Tarkov Be Permadeath?
awOcKbaRRiM,"92,036","4,232",210,PT15M17S,Becoming the Tarkov Lord of Dorms...
FBDlSV6v_fM,"70,565","6,137",4,PT7H27M15S,ðŸ”´ LIVE - HOW TO PAINT THE WALLS WITH YOUR ENEMIES - TARKOV EDITION
f_-uRc59_7U,"19,332",439,42,PT10M35S,Escape From Tarkov Highlights - EFT WTF MOMENTS #200
p4w9LpEXPnw,"88,810","2,052",140,PT11M18S,The Server Is STACKED - Full Raid - Escape From Tarkov
C4CarrvU1Nw,"13,649",462,20,PT11M26S,Trying To Find PMCs - Full Raid - Escape From Tarkov
Q0--E4zB2tc,"142,888","4,770",509,PT26M31S,The only scope you need in Tarkov..
UN9vaKV_x8o,"87,481","1,645",106,PT31M33S,TARKOV SQUAD DELETER
luACyducDNQ,"1,169,919","47,743","1,566",PT26M29S,THE GREATEST SOLO REDEMPTION - Escape From Tarkov
wgKgQ33Ap0E,"51,029","1,393",92,PT13M39S,SO CLOSE - Full Raid - Escape From Tarkov
L_tWKIZ44Mg,"333,719","15,171",662,PT18M46S,Escape from Tarkov is Pain but I like it...
FIU4CtniwuU,"900,977","35,821","1,480",PT33M43S,THE MOST UNEXPECTED JUSTICE - Escape From Tarkov
G9S75Vt_aVA,"76,292","1,876",79,PT24M54S,TARKOV X GAMES
UZyaSUY6OiQ,"7,669",631,37,PT16M51S,Church of the Trout - Funny VOIPS - Escape From Tarkov
l0SBe7Xge0s,"126,931","2,995",114,PT25M54S,WEIRD and FUNNY Tarkov Day...
1byskALByrY,"43,898","1,334",75,PT6M59S,Just Enough Time - Full Raid - Escape From Tarkov
fOx6nXBOnnw,"177,970","2,918",155,PT29M38S,That&#39;s Gotta be the FASTEST UNINSTALL...
IqsS4QC5i1w,"212,101","9,313",514,PT27M16S,I Played Tarkov with anyone who invited meâ€¦
Ol3qEr4fQVQ,"173,765","8,040",432,PT27M19S,This is Why I Avoid The Tarkov Meta
qzT93fV5JMs,"17,515",489,90,PT12M2S,"Most Watched Tarkov Clips Today | V89 | Epic, Funny, Skillful Moments | Daily Dose Of Tarkov"
MlmDbeXS5fQ,"75,210","1,793",60,PT8M54S,Bringing Back The Juice Cannon - Full Raid - Escape From Tarkov
BGqO8_H0XRI,"104,834","2,753",134,PT15M10S,Using The BUFFED SA-58 - Full Raid - Escape From Tarkov
73TkAe4iuKI,"87,081","5,324",314,PT4M5S,"Looting Marked Room 24 times, is it worth it? - Escape from Tarkov"
sQSGq9lYDSs,"11,404",406,12,PT10M21S,INSANE SQUAD WIPES  - Escape From Tarkov Highlights - EFT WTF MOMENTS  #199
fH-E1l5divo,"39,211","2,054",152,PT27M45S,The Craziest Raid I have Ever Had - Escape From Tarkov
i2Gy8gae_aA,"49,675","1,389",42,PT11M24S,Mutant In The Bunker - Full Raid - Escape From Tarkov
W6pPT7Ist4w,"207,083","5,516",524,PT11M17S,cheaters are ruining escape from tarkov.
QOxY6Z_RL0c,"81,528","2,361",94,PT15M50S,INSANE Lighthouse Battle - Full Raid - Escape From Tarkov
kIhs0M6RYsA,"220,926","4,314",168,PT22M11S,I LIKE THIS GUN - Escape From Tarkov Highlights
FAVv1FLIkGs,"119,150","2,703",110,PT26M17S,INTENSE FIREFIGHTS - Escape From Tarkov
jqYoRkXa3N8,"278,622","9,749",880,PT48M42S,S-F Tier List - Guns .12.12 - Escape from Tarkov
Slb2NJvyv24,"856,944","55,573","2,982",PT22M15S,VOIP changed Tarkov
NoTdTrpUrZE,"98,314","3,132",135,PT15M55S,SHUT UP! I am talking to chat! - Escape from Tarkov
djtxIds-_Dg,"160,054","5,883",372,PT22M49S,A Great Day for Tarkov Loot...
DfF8n5MwDSQ,"228,262","9,581",251,PT13M46S,Bringing the BIG GUNS in Escape from Tarkov!
PHHRRG7Jtos,"507,956","18,049",735,PT19M9S,Spec Ops SHOOT Escape from Tarkov Weapons IRL (with Jim Fuller) | Experts Try
0FQCGBtBAwA,"110,261","3,488",352,PT14M39S,My Top PVP Tips After 4000 Hours Of Tarkov!
U3X7ajBWyDw,"138,493","3,696",193,PT15M21S,Summit1g Slays the WHOLE LOBBY in his Greatest Run on Escape from Tarkov!
VuWWMiUFyGY,"205,689","8,649",262,PT12M25S,There&#39;s Nothing like Headshots in Escape From Tarkov!
88f1xv_Lz0s,"82,034","1,222",108,PT13M21S,TOZ vs Cheater in Tarkov - EFT Digest #55
2h8kg6xYvcU,"69,321","2,166",244,PT13M9S,"Loot buffs, nerfs, and a Dev update  - Today in Tarkov - News, Updates, and Economy"
t79Fl6qnUF8,"25,586",774,84,PT18M35S,I Fought the SCARIEST Cult In Tarkov...
eWwhiqXw4J0,"81,896","2,378",303,PT9M44S,"We get a patch!  - Today in Tarkov - News, Updates, and Economy"
uCLUpKQJrrw,"38,580","1,004",190,PT13M45S,How I got KAPPA Container (And You Can Too)  - Escape From Tarkov
